dt	company	stockValue	sentiment	keywords	ref
2/21/2018	Intel	46.56	0.407272727	['firmware', 'fixes', 'intel', 'releases', 'updates', 'sp3', 'feints', 'patch', 'variant', 'meltdownspectre', 'microcode', 'surface', 'update', 'released', 'pro', 'microsoft']	https://www.computerworld.com/article/3257225/microsoft-windows/intel-releases-more-meltdownspectre-firmware-fixes-microsoft-feints-an-sp3-patch.html
2/21/2018	Intel	46.56	-0.035714286	['rating', 'intel', 'corporation', 'worth', 'intc', 'sold', 'raised', 'reported', 'fifth', 'price', 'nasdaqintc', 'holding', 'declined', 'shares', 'stock', 'corp', 'million']	https://friscofastball.com/fifth-third-bancorp-raised-its-intel-corp-intc-holding-by-13-97-million-as-stock-price-declined/
2/27/2018	Intel	49.91	0.153401361	['authority', 'mattis', 'intel', 'steps', 'doesnt', 'secretary', 'sanders', 'president', 'russian', 'meddling', 'rogers', 'official', 'stop', 'cyber']	https://www.houstonchronicle.com/business/technology/article/Trump-hasn-t-ordered-Russian-meddling-stopped-at-12713416.php
2/27/2018	Intel	49.91	0.151235431	['addition', '730', 'optional', 'intel', 'windows', 'latest', 'support', 'alexa', 'yoga', 'core', 'geforce', 'lenovo', 'lenovos', 'processors', '15inch', 'features', 'mwc', 'laptop', 'updated']	http://www.zdnet.com/article/mwc-lenovos-updated-yoga-730-features-latest-intel-core-processors-amazon-alexa-support/
2/27/2018	Intel	49.91	0.1975	['fear', 'changes', 'performance', 'intel', 'updates', 'pcs', 'microcode', 'meltdown', 'older', 'spectre', 'windows', 'little', 'patches', 'recent', 'intels', 'system']	https://techreport.com/review/33299/recent-pcs-have-little-to-fear-from-intel-spectre-microcode-updates
3/8/2018	Intel	51.84	0.04	['plans', 'house', 'build', 'witnesses', 'committee', 'intel', 'investigation', 'staff', 'wall', 'committees', 'testimony', 'physical', 'work', 'shelved', 'plan', 'republicans']	https://www.cbsnews.com/news/house-intelligence-committee-physical-wall-plan-shelved/
3/8/2018	Intel	50.74	0.126183261	['optane', 'ssd', '800p', 'flashbased', '118gb', 'intel', 'size', 'right', '58gb', 'review', 'ssds', 'drive', 'drives', 'performance', 'memory']	https://www.anandtech.com/show/12512/the-intel-optane-ssd-800p-review
3/9/2018	Intel	52.19	-0.041666667	['including', 'rooting', 'intel', 'range', 'broadcom', 'wsj', 'reported', 'wall', 'report', 'threat', 'considers', 'deals', 'reporting', 'street', 'bid']	https://www.reuters.com/article/broadcom-ma-intel/intel-considers-deals-including-bid-for-broadcom-wsj-idUSL4N1QR5NR
3/9/2018	Intel	52.19	0	['optane', 'ssd', '800p', 'series', 'storage', 'turbocharged', 'speed', 'offering', 'affordable', 'speeds', 'ssds', 'form', 'drives', 'intels']	http://www.zdnet.com/article/intels-turbo-charged-optane-ssds-just-got-more-affordable-with-the-new-800p/
3/8/2018	Intel	51.84	0.102272727	['computer', 'intels', 'chip', 'research', 'technology', 'micro', 'revolutionary', 'computing', 'selflearning', 'ieee', 'highlight', 'loihi', 'magazines', 'neuromorphic', 'learning']	https://www.prnewswire.com/news-releases/computer-and-ieee-micro-magazines-highlight-intels-loihi-a-revolutionary-neuromorphic-self-learning-chip-300610433.html
3/5/2018	Intel	48.57	-0.291411565	['instinet', 'stocks', 'citi', 'system', 'intel', 'analysts', 'zacks', 'corp', 'returns', 'monthly', 'delayed', 'month', 'positive', 'intc', 'return', 'data', 'rank']	https://www.zacks.com/stock/news/294522/instinet-citi-analysts-positive-on-intel-corp-intc
3/5/2018	Intel	49.75	0.053125	['intels', 'memory', 'intel', 'contents', 'spectrelike', 'attack', 'spectre', 'code', 'entire', 'exposes', 'enclave', 'secure', 'prediction', 'used', 'sgx', 'branch']	https://www.techrepublic.com/article/spectre-like-attack-exposes-entire-contents-of-intels-sgx-secure-enclave/
3/7/2018	Intel	51.32	0.220833333	['intels', 'supplier', 'intel', 'technologies', 'performance', 'preferred', 'world', 'award', 'management', 'suppliers', 'trademark', 'solutions', 'receives', 'quality', 'klatencor']	https://www.prnewswire.com/news-releases/kla-tencor-receives-intels-preferred-quality-supplier-award-300609480.html
3/9/2018	Intel	52.19	0.236111111	['analysis', 'system', 'solution', 'turns', 'plans', 'intel', 'point', 'fix', 'maneuver', 'states', 'opponent', 'army', 'units', 'legal', 'process', 'tactical']	https://www.defensenews.com/land/2018/03/09/army-awards-contract-to-buy-commercial-solutions-to-fix-troubled-intel-analysis-framework/
3/12/2018	Intel	51.52	0.051753247	['happy', 'stocks', 'talk', 'unit', 'wall', 'intel', 'price', 'broadcom', 'investors', 'qualcomm', 'reported', 'takeover', 'street', 'shares', 'optimism', 'prada']	http://money.cnn.com/2018/03/12/investing/premarket-stocks-trading/index.html
3/14/2018	Intel	51.86	0	['stocks', 'intels', 'system', 'rumors', 'broadcom', 'zacks', 'returns', 'monthly', 'risk', 'delayed', 'month', 'buyout', 'return', 'data', 'rank']	https://www.zacks.com/stock/news/295593/intels-broadcom-buyout-rumors-put-these-3-stocks-at-risk
2/26/2018	Microsoft	95.42	-0.048611111	['overseas', 'washingtontechnology', 'hear', 'microsoft', 'search', 'supreme', 'case', 'square', 'subject', 'law', 'wrote', 'warrantsthe', 'stored', 'court', 'customer', 'data', 'emails']	https://www.wsj.com/articles/supreme-court-to-hear-microsoft-case-on-emails-customer-data-stored-overseas-1519641001
2/26/2018	Microsoft	95.42	-0.033333333	['stake', 'states', 'live', 'act', 'microsoft', 'supreme', 'case', 'whats', 'foreign', 'data', 'stored', 'court', 'united', 'emails']	https://www.theverge.com/2018/2/26/17052946/microsoft-email-supreme-court-case-law-enforcement
2/26/2018	Microsoft	95.42	0.301428571	['bigger', 'power', 'office', 'lot', 'bi', 'weve', 'opportunity', 'microsoft', 'growth', 'achieved', 'nadella', 'business', 'cloud', '365', 'stanley', 'server', 'ceo']	https://www.cnbc.com/2018/02/26/satya-nadella-talks-up-microsoft-office-365-growth-opportunity.html
3/1/2018	Microsoft	93.77	0.115625	['buying', 'power', 'renewable', 'company', 'singapore', 'tech', 'deal', 'companies', 'microsoft', 'energy', 'rooftops', 'solar', 'project', 'data']	http://money.cnn.com/2018/03/01/technology/microsoft-singapore-sunseap-solar-project-deal/index.html
3/1/2018	Microsoft	93.77	0.112337662	['claims', 'enforcement', 'microsoft', 'email', 'supreme', 'court', 'privacy', 'data', 'case', 'foreign', 'law', 'stored', 'information', 'ireland', 'skeptical', 'microsofts', 'countries']	https://www.scientificamerican.com/article/supreme-court-skeptical-of-microsofts-ireland-e-mail-privacy-claims/
3/1/2018	Microsoft	93.77	0.183333333	['vice', 'available', 'corporate', 'custom', 'vision', 'interfaces', 'microsoft', 'programming', 'services', 'developers', 'cognitive', 'president', 'ai', 'makes']	http://www.zdnet.com/article/microsoft-makes-more-ai-programming-interfaces-available-to-developers/
