dt,stock,stock_ID,stockValue
3/14/2018,IBM,IBM,160.00
3/14/2018,Intel,intel,51.99
3/14/2018,Microsoft,MSFT,95.06
3/14/2018,Amazon,AMZN,1591.00
3/14/2018,Apple,AAPL,178.44
3/14/2018,Google,GOOGL,1148.94
3/14/2018,IBM,IBM,158.12
3/14/2018,Intel,intel,51.86
3/14/2018,Microsoft,MSFT,93.85
3/15/2018,Apple,AAPL,178.53
